UKPRN,HE Provider,Afghanistan,Bangladesh,Bhutan,Brunei,Cambodia,China,East Timor,Hong Kong (Special Administrative Region of China),India,Indonesia,Japan,Kazakhstan,Korea (North),Korea (South),Kyrgyzstan,Laos,Macao (Special Administrative Region of China),Malaysia,Maldives,Myanmar (Burma),Mongolia,Nepal,Pakistan,Philippines,Singapore,Sri Lanka,Taiwan,Tajikistan,Thailand,Turkmenistan,Uzbekistan,Vietnam,Asia (Except Middle East) not otherwise specified,Total Asia,Total
10000936,The University College of Osteopathy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
10007786,The University of Bristol,5,15,0,10,5,"3,650",0,290,345,40,35,30,0,85,0,0,5,345,10,5,0,5,35,5,200,20,70,0,95,0,0,25,0,"5,335","8,090"
10023464,Trinity College Bristol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000961,Brunel University London,5,130,0,5,0,805,0,180,"1,155",20,5,30,0,15,5,0,5,50,0,0,5,30,430,5,20,30,20,5,45,0,50,25,0,"3,085","5,640"
10000975,Buckinghamshire New University,0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,55,935
10007787,The University of Buckingham,0,10,0,0,0,40,0,30,80,5,20,5,0,5,0,0,0,5,0,0,0,5,15,5,15,15,5,0,10,0,0,5,0,275,"1,005"
10010308,Cambridge Arts and Sciences Limited,0,0,0,0,0,25,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,45,80
10007788,The University of Cambridge,0,10,0,5,0,"1,360",0,355,270,40,70,10,0,100,0,0,5,170,0,0,0,5,35,10,365,20,35,0,70,0,0,15,0,"2,955","7,270"
10032072,The Cambridge Theological Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10003324,The Institute of Cancer Research,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,35
