UKPRN,HE Provider,Afghanistan,Bangladesh,Bhutan,Brunei,Cambodia,China,East Timor,Hong Kong (Special Administrative Region of China),India,Indonesia,Japan,Kazakhstan,Korea (North),Korea (South),Kyrgyzstan,Laos,Macao (Special Administrative Region of China),Malaysia,Maldives,Myanmar (Burma),Mongolia,Nepal,Pakistan,Philippines,Singapore,Sri Lanka,Taiwan,Tajikistan,Thailand,Turkmenistan,Uzbekistan,Vietnam,Asia (Except Middle East) not otherwise specified,Total Asia,Total
10008071,AA School of Architecture,0,0,0,0,0,355,0,40,80,0,5,0,0,40,0,0,0,10,0,0,0,0,5,0,5,0,15,0,10,0,0,0,0,570,910
10007783,The University of Aberdeen,0,240,0,5,0,805,0,30,410,20,10,20,0,15,0,0,0,65,5,5,0,0,20,0,30,30,10,0,35,0,5,5,0,"1,760","4,690"
10007849,Abertay University,0,0,0,0,0,35,0,5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,600
10007856,Aberystwyth University,0,5,0,5,0,155,0,15,70,5,5,0,0,20,0,0,0,70,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,365,"1,345"
10067853,ACM Guildford Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
10000163,AECC University College,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,320
10032036,Amity Global Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
10000291,Anglia Ruskin University,0,10,0,0,0,185,0,210,"3,320",5,10,20,0,15,5,0,0,20,0,5,0,10,65,55,15,20,20,0,20,0,110,20,0,"4,140","7,170"
10005451,Arden University,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,30,70
10000381,Arts Educational Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,45
10008899,The Ashridge (Bonar Law Memorial) Trust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,60
10003212,Hult International Business School Ltd,0,0,0,0,5,20,0,5,95,15,20,15,0,5,0,0,0,0,0,0,5,0,5,15,0,0,10,0,10,0,0,5,0,235,"1,515"
10007759,Aston University,5,30,0,0,0,260,0,40,"1,080",10,35,10,0,15,0,0,0,15,5,0,0,10,70,5,5,5,25,0,15,0,5,50,0,"1,695","3,065"
10007857,Bangor University,5,180,0,0,0,340,0,20,395,5,25,0,0,0,0,0,0,20,0,0,0,25,165,0,5,10,0,0,10,0,0,10,0,"1,220","2,325"
10000571,Bath Spa University,0,0,0,5,0,40,0,5,120,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,195,550
10007850,The University of Bath,0,5,0,5,5,650,0,355,675,25,35,10,0,30,0,0,10,155,5,10,0,5,20,5,70,10,80,0,180,0,0,15,0,"2,350","4,765"
10007152,University of Bedfordshire,0,290,0,0,0,125,0,5,"3,100",0,0,0,0,0,0,0,0,5,0,0,0,75,330,5,0,20,0,0,0,0,0,30,0,"3,990","6,035"
10005343,Queen's University Belfast,0,20,0,5,0,"1,650",0,60,570,105,10,5,0,20,0,0,5,345,0,40,0,10,65,5,55,20,5,0,10,0,0,25,0,"3,035","5,175"
10037544,BIMM University,0,0,0,0,0,5,0,5,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,45,780
10007760,Birkbeck College,5,10,0,0,5,80,0,30,90,5,20,5,0,15,0,0,0,10,0,0,0,5,15,5,15,5,10,0,10,0,0,5,0,350,"1,410"
