UKPRN,HE Provider,Bahrain,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Occupied Palestinian Territories {formerly West Bank (including East Jerusalem) and Gaza Strip},Oman,Qatar,Saudi Arabia,Syria,United Arab Emirates,Yemen,Middle East not otherwise specified,Total Middle East,Total
10008071,AA School of Architecture,0,5,0,15,5,0,35,0,0,0,10,0,15,0,0,85,870
10007783,The University of Aberdeen,10,10,25,0,10,50,10,5,20,50,60,0,40,0,0,285,"4,825"
10007849,Abertay University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,645
10007856,Aberystwyth University,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,20,"1,420"
10067853,ACM Guildford Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
10000248,Academy of Live and Recorded Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
10000163,AECC University College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,285
10032036,Amity Global Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000291,Anglia Ruskin University,10,15,0,5,45,20,20,0,15,5,50,5,345,5,0,545,"6,350"
10005451,Arden University,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,25
10000381,Arts Educational Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
10008899,The Ashridge (Bonar Law Memorial) Trust,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,75
10003212,Hult International Business School Ltd,0,0,0,0,5,0,5,0,0,0,5,0,5,0,0,30,"1,515"
10007759,Aston University,5,35,5,0,5,50,5,0,10,5,120,5,50,0,0,300,"2,655"
10007857,Bangor University,15,0,0,5,5,90,0,0,5,5,130,0,10,0,0,270,"1,845"
10000571,Bath Spa University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,625
10007850,The University of Bath,10,10,0,5,25,10,15,0,10,20,20,0,135,0,0,265,"4,905"
10007152,University of Bedfordshire,5,0,0,0,15,5,0,0,0,5,5,0,10,0,0,45,"6,810"
10005343,Queen's University Belfast,5,10,0,0,35,15,10,0,10,30,125,0,60,0,0,305,"4,985"
10037544,BIMM University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960
10007760,Birkbeck College,5,10,5,5,0,5,10,0,0,10,30,5,25,0,0,110,"1,555"
10007140,Birmingham City University,5,30,0,5,0,5,5,5,10,15,15,5,20,5,0,120,"4,325"
10006840,The University of Birmingham,35,25,5,5,15,35,15,5,65,25,265,0,135,5,0,635,"9,530"
10000712,University College Birmingham,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,"1,470"
10007832,Birmingham Newman University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
10000894,Bristol Baptist College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10007811,Bishop Grosseteste University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
10004061,Bloomsbury Institute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
10006841,The University of Bolton,5,0,0,0,0,0,0,0,0,0,15,0,5,0,0,40,"1,235"
10000385,The Arts University Bournemouth,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,20,575
10000824,Bournemouth University,0,10,0,0,5,10,10,0,20,5,25,5,25,0,0,115,"2,695"
10031982,BPP University,0,5,0,0,10,0,10,0,5,0,5,0,25,0,0,75,"6,605"
10007785,The University of Bradford,5,15,0,0,15,255,0,0,15,10,10,0,15,0,0,335,"1,815"
10000886,The University of Brighton,35,20,5,5,45,190,5,5,25,25,120,5,35,0,0,520,"2,445"
10000936,The University College of Osteopathy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,40
10007786,The University of Bristol,10,20,5,0,40,35,10,5,25,15,85,5,95,0,0,340,"8,090"
10023464,Trinity College Bristol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000961,Brunel University London,10,50,15,5,30,110,65,5,20,40,90,5,85,0,0,520,"5,640"
10000975,Buckinghamshire New University,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,10,935
10007787,The University of Buckingham,5,10,5,5,5,5,0,0,10,10,15,5,55,0,0,120,"1,005"
10010308,Cambridge Arts and Sciences Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
10007788,The University of Cambridge,5,5,0,20,10,0,5,5,5,5,20,0,25,0,0,115,"7,270"
10032072,The Cambridge Theological Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10003324,The Institute of Cancer Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
10001143,Canterbury Christ Church University,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,685
10007814,Cardiff University,20,20,15,0,25,90,10,5,95,15,445,0,75,0,0,820,"7,725"
10007854,Cardiff Metropolitan University,5,0,0,0,10,5,5,0,35,0,15,0,10,5,0,95,"1,870"
10057213,CEG UFP Limited,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,25,470
10007141,The University of Central Lancashire,10,30,10,0,15,20,5,0,35,65,75,5,135,0,0,410,"5,630"
10024024,Central Film School London,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
10007848,University of Chester,0,10,5,0,5,20,5,0,5,5,5,0,10,0,0,75,"1,805"
10007137,The University of Chichester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,300
10001546,The College of Integrated Chinese Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10001419,Christie's Education Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
10001478,"City, University of London",50,35,0,10,35,35,60,5,10,65,160,0,205,0,0,675,"6,740"
10007912,Cliff College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10066502,The College of Health Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
10001653,Conservatoire for Dance and Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350
10081618,The Council of the Inns of Court,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007761,Courtauld Institute of Art,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,230
10034324,Court Theatre Training Company Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10001726,Coventry University,60,25,10,5,65,130,35,0,50,25,150,0,145,0,0,700,"13,770"
10007822,Cranfield University,0,5,0,0,5,5,15,0,10,5,80,0,20,0,0,145,"2,160"
10006427,University for the Creative Arts,0,0,0,0,0,5,0,0,0,5,5,0,10,0,0,30,"2,125"
10007842,University of Cumbria,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,275
10026767,Dartington Hall Trust (The),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
10001883,De Montfort University,5,15,5,0,15,130,10,0,10,30,105,0,50,0,0,380,"6,170"
10007851,University of Derby,0,5,0,0,5,10,0,0,5,20,15,0,50,0,0,110,"2,235"
10007852,The University of Dundee,5,5,5,0,10,5,5,5,5,5,85,0,50,0,0,185,"3,055"
10007143,University of Durham,10,5,5,5,5,10,10,5,10,20,60,0,70,0,0,205,"6,180"
10007789,The University of East Anglia,5,5,0,0,15,10,0,0,0,0,80,0,20,0,0,145,"3,055"
10007144,The University of East London,0,15,0,5,5,10,15,0,0,10,15,0,25,0,0,105,"5,220"
10032282,The Queen's Foundation for Ecumenical Theological Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10007823,Edge Hill University,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,425
10007772,Edinburgh Napier University,0,5,0,0,0,0,0,0,5,5,15,5,10,0,0,45,"3,365"
10007790,The University of Edinburgh,20,25,0,10,25,15,30,5,20,15,80,5,125,0,0,375,"15,590"
10042570,Escape Studios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
10007791,The University of Essex,10,20,5,10,10,30,5,5,10,10,65,0,40,0,0,215,"5,975"
10008173,University College of Estate Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10002313,ESCP Europe Business School,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,525
