UKPRN,HE Provider,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Falkland Islands,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela,South America not otherwise specified,Total South America,Total
10008071,AA School of Architecture,5,0,0,0,0,0,0,0,0,5,0,0,0,0,10,870
10007783,The University of Aberdeen,5,0,5,0,5,0,0,5,0,0,0,0,0,0,30,"4,825"
10007849,Abertay University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645
10007856,Aberystwyth University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"1,420"
10067853,ACM Guildford Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,65
10000248,Academy of Live and Recorded Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
10000163,AECC University College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285
10032036,Amity Global Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000291,Anglia Ruskin University,0,0,5,0,5,0,0,0,0,0,0,0,0,0,15,"6,350"
10005451,Arden University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
10000381,Arts Educational Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
10008899,The Ashridge (Bonar Law Memorial) Trust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
10003212,Hult International Business School Ltd,0,0,45,5,10,5,0,0,0,5,0,0,5,0,75,"1,515"
10007759,Aston University,0,0,5,5,0,0,0,0,0,5,0,0,0,0,20,"2,655"
10007857,Bangor University,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,"1,845"
10000571,Bath Spa University,0,0,0,0,5,0,0,0,0,0,0,0,0,0,15,625
10007850,The University of Bath,0,0,10,0,0,0,0,0,0,5,0,0,5,0,30,"4,905"
10007152,University of Bedfordshire,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,"6,810"
10005343,Queen's University Belfast,0,0,5,0,5,5,0,0,0,0,0,0,0,0,20,"4,985"
10037544,BIMM University,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,960
10007760,Birkbeck College,5,0,15,5,0,0,0,0,0,0,0,0,0,0,25,"1,555"
