ukprn,he_provider,year,country,students,school_lat,school_lon,country_lat,country_lon
10007769.0,London Business School,2020/2021,austria,20,51.5263869,-0.1611521852618121,47.59397,14.12456
10007797.0,University of London (Institutes and activities),2020/2021,austria,10,0.0,0.0,47.59397,14.12456
10039082.0,City and Guilds of London Art School,2020/2021,austria,5,0.0,0.0,47.59397,14.12456
10004078.0,London South Bank University,2020/2021,austria,5,51.4977032,-0.1018088772029535,47.59397,14.12456
10004063.0,London School of Economics and Political Science,2020/2021,austria,70,51.51459765,-0.1164219910462142,47.59397,14.12456
10004113.0,Loughborough University,2020/2021,austria,10,52.763845,-1.237258153986855,47.59397,14.12456
10004180.0,The Manchester Metropolitan University,2020/2021,austria,5,0.0,0.0,47.59397,14.12456
10007798.0,The University of Manchester,2020/2021,austria,35,51.57236815,-1.3114536688023473,47.59397,14.12456
10009527.0,Istituto Marangoni Limited,2020/2021,austria,5,0.0,0.0,47.59397,14.12456
10004351.0,Middlesex University,2020/2021,austria,5,51.65912265,-0.1333415102521861,47.59397,14.12456
10007799.0,Newcastle University,2020/2021,austria,10,54.98017505,-1.6146802127187847,47.59397,14.12456
10048199.0,Northeastern University London,2020/2021,austria,5,51.5061905,-0.0715902,47.59397,14.12456
10007138.0,The University of Northampton,2020/2021,austria,5,0.0,0.0,47.59397,14.12456
10001282.0,University of Northumbria at Newcastle,2020/2021,austria,5,0.0,0.0,47.59397,14.12456
10007154.0,University of Nottingham,2020/2021,austria,15,52.9387428,-1.2002956927457429,47.59397,14.12456
10004797.0,The Nottingham Trent University,2020/2021,austria,5,52.95814555,-1.1545502016035694,47.59397,14.12456
10004930.0,Oxford Brookes University,2020/2021,austria,10,51.755223,-1.2301040395972822,47.59397,14.12456
10007774.0,The University of Oxford,2020/2021,austria,90,51.7659214,-1.2631250075112073,47.59397,14.12456
10007801.0,University of Plymouth,2020/2021,austria,5,50.3757001,-4.139378575455437,47.59397,14.12456
10007155.0,The University of Portsmouth,2020/2021,austria,10,50.7938881,-1.0978796,47.59397,14.12456
10005337.0,"Queen Margaret University, Edinburgh",2020/2021,austria,10,0.0,0.0,47.59397,14.12456
10007775.0,Queen Mary University of London,2020/2021,austria,35,51.52471385,-0.0393104428430625,47.59397,14.12456
10007802.0,The University of Reading,2020/2021,austria,5,56.4650368,-2.961257790665237,47.59397,14.12456
10086591.0,Regent's University London Limited,2020/2021,austria,10,0.0,0.0,47.59397,14.12456
10005500.0,Robert Gordon University,2020/2021,austria,5,57.1187364,-2.139306576766816,47.59397,14.12456
10007777.0,Royal College of Art,2020/2021,austria,10,51.4792809,-0.1704550872167491,47.59397,14.12456
10007778.0,Royal College of Music,2020/2021,austria,5,51.499477600000006,-0.1771007182751799,47.59397,14.12456
10005561.0,Royal Conservatoire of Scotland,2020/2021,austria,5,55.86638255,-4.257549087975787,47.59397,14.12456
10005553.0,Royal Holloway and Bedford New College,2020/2021,austria,10,51.424449550000006,-0.5642561069587715,47.59397,14.12456
10007803.0,The University of St. Andrews,2020/2021,austria,50,56.3429876,-2.7939691452666806,47.59397,14.12456
10007780.0,SOAS University of London,2020/2021,austria,20,51.5218979,-0.1288676341954016,47.59397,14.12456
10007157.0,The University of Sheffield,2020/2021,austria,15,53.3806759,-1.4840345,47.59397,14.12456
10007158.0,The University of Southampton,2020/2021,austria,10,0.0,0.0,47.59397,14.12456
10006299.0,Staffordshire University,2020/2021,austria,5,53.00947475,-2.1742692248780635,47.59397,14.12456
10007804.0,The University of Stirling,2020/2021,austria,10,0.0,0.0,47.59397,14.12456
10007805.0,The University of Strathclyde,2020/2021,austria,10,55.8618812,-4.241956565778082,47.59397,14.12456
10007160.0,The University of Surrey,2020/2021,austria,10,0.0,0.0,47.59397,14.12456
10007806.0,The University of Sussex,2020/2021,austria,20,0.0,0.0,47.59397,14.12456
10007855.0,Swansea University,2020/2021,austria,10,51.6080596,-3.9773969,47.59397,14.12456
10007161.0,Teesside University,2020/2021,austria,5,54.5695266,-1.2355444297582996,47.59397,14.12456
10007858.0,University of Wales Trinity Saint David,2020/2021,austria,5,52.11313185,-4.075201674546898,47.59397,14.12456
10007114.0,University of the Highlands and Islands,2020/2021,austria,10,0.0,0.0,47.59397,14.12456
10039956.0,The University of Law,2020/2021,austria,5,51.520537,-0.1317372594285641,47.59397,14.12456
10007784.0,University College London,2020/2021,austria,105,51.52420305,-0.1330007242592954,47.59397,14.12456
