ukprn,he_provider,year,country,students,school_lat,school_lon
10006299.0,Staffordshire University,2020/2021,austria,5,53.009474749999995,-2.1742692248780635
10007805.0,The University of Strathclyde,2020/2021,austria,10,55.8618812,-4.241956565778082
10007160.0,The University of Surrey,2020/2021,austria,10,51.24307815,-0.5900544877514773
10007855.0,Swansea University,2020/2021,austria,10,51.6080596,-3.9773969
10007161.0,Teesside University,2020/2021,austria,5,54.5695266,-1.2355444297582996
10007858.0,University of Wales Trinity Saint David,2020/2021,austria,5,52.11313185,-4.075201674546898
10039956.0,The University of Law,2020/2021,austria,5,51.520537000000004,-0.13173725942856418
10007784.0,University College London,2020/2021,austria,105,51.52420305,-0.13300072425929543
10007793.0,University of South Wales,2020/2021,austria,5,51.5860894,-2.990616
10007164.0,"University of the West of England, Bristol",2020/2021,austria,5,51.50076785,-2.5503106339491204
10007800.0,The University of the West of Scotland,2020/2021,austria,5,56.458393599999994,-2.97443952793637
10006566.0,The University of West London,2020/2021,austria,15,51.5070185,-0.3028075365414086
10007165.0,The University of Westminster,2020/2021,austria,25,51.5168987,-0.14330516808711596
10007166.0,The University of Wolverhampton,2020/2021,austria,5,52.5719739,-1.9699298
10007833.0,Wrexham University,2020/2021,austria,5,53.0534759,-3.0047901266461725
10007783.0,The University of Aberdeen,2020/2021,belgium,35,57.1639306,-2.100875776271873
10007849.0,Abertay University,2020/2021,belgium,5,56.4631526,-2.97467889452203
10007856.0,Aberystwyth University,2020/2021,belgium,10,52.41554955,-4.065054179671381
10000163.0,AECC University College,2020/2021,belgium,10,50.7277694,-1.828112718200746
10000291.0,Anglia Ruskin University,2020/2021,belgium,10,52.20338815,0.1350225704824107
10007759.0,Aston University,2020/2021,belgium,15,52.48619045,-1.888468930261664
10007857.0,Bangor University,2020/2021,belgium,10,53.2300234,-4.13008199555879
10000571.0,Bath Spa University,2020/2021,belgium,10,51.374858,-2.438714578176041
10007152.0,University of Bedfordshire,2020/2021,belgium,5,51.877732449999996,-0.41005165765760376
10005343.0,Queen's University Belfast,2020/2021,belgium,5,54.5842881,-5.933656245995208
10037544.0,BIMM University,2020/2021,belgium,10,51.4795566,-0.1960698
10007760.0,Birkbeck College,2020/2021,belgium,15,51.52184485,-0.13021550670673807
10007140.0,Birmingham City University,2020/2021,belgium,10,52.4822706,-1.8888147987150585
10006840.0,The University of Birmingham,2020/2021,belgium,30,52.435015899999996,-1.947159562796694
10000712.0,University College Birmingham,2020/2021,belgium,5,52.481672,-1.9061374380791707
10006841.0,The University of Bolton,2020/2021,belgium,10,53.57142575,-2.4264782591265446
10000385.0,The Arts University Bournemouth,2020/2021,belgium,10,50.7418816,-1.8976735
10000824.0,Bournemouth University,2020/2021,belgium,5,50.7226231,-1.8641233438403426
10031982.0,BPP University,2020/2021,belgium,15,51.50537905,-0.22337950306706675
10007786.0,The University of Bristol,2020/2021,belgium,40,51.50076785,-2.5503106339491204
10000961.0,Brunel University London,2020/2021,belgium,15,51.5326092,-0.47404989072672915
10000975.0,Buckinghamshire New University,2020/2021,belgium,25,51.62782205,-0.75343598276741
10007788.0,The University of Cambridge,2020/2021,belgium,60,52.1867003,0.13650796363903167
10001143.0,Canterbury Christ Church University,2020/2021,belgium,5,51.279182399999996,1.0903628318027239
10007814.0,Cardiff University,2020/2021,belgium,25,51.4886911,-3.1794825
10001478.0,"City, University of London",2020/2021,belgium,40,51.527658200000005,-0.10352447335648303
10007761.0,Courtauld Institute of Art,2020/2021,belgium,5,51.51149315,-0.11772887582631139
10001726.0,Coventry University,2020/2021,belgium,45,52.4056372,-1.4997222676795412
10007822.0,Cranfield University,2020/2021,belgium,10,52.070132900000004,-0.6287023427161589
10006427.0,University for the Creative Arts,2020/2021,belgium,10,51.2162625,-0.8060567021382656
10001883.0,De Montfort University,2020/2021,belgium,10,52.63047175,-1.1402281049813487
10007851.0,University of Derby,2020/2021,belgium,5,52.937954700000006,-1.497999105195924
10007852.0,The University of Dundee,2020/2021,belgium,25,56.45796755,-2.9821483135375493
10007143.0,University of Durham,2020/2021,belgium,40,54.7743725,-1.5766714
10007789.0,The University of East Anglia,2020/2021,belgium,30,52.62106225,1.2356187242525833
10007144.0,The University of East London,2020/2021,belgium,10,51.5075713,0.0641476
10007772.0,Edinburgh Napier University,2020/2021,belgium,15,55.93110635,-3.2093902303057424
10007790.0,The University of Edinburgh,2020/2021,belgium,105,55.948366449999995,-3.185681320007981
10007791.0,The University of Essex,2020/2021,belgium,30,51.538100850000006,0.7123974191663069
10008640.0,Falmouth University,2020/2021,belgium,10,50.1489643,-5.07044720681594
10007762.0,Glasgow Caledonian University,2020/2021,belgium,5,55.86746635,-4.250245389417843
10002681.0,Glasgow School of Art,2020/2021,belgium,5,55.8663077,-4.263900066705968
10007794.0,The University of Glasgow,2020/2021,belgium,45,55.873419049999995,-4.289052856658881
10002718.0,Goldsmiths College,2020/2021,belgium,25,51.473283949999995,-0.03662674755260884
10007825.0,Guildhall School of Music and Drama,2020/2021,belgium,5,51.5195225,-0.09237473454516612
10007764.0,Heriot-Watt University,2020/2021,belgium,20,55.91029585,-3.323447514558347
10007147.0,University of Hertfordshire,2020/2021,belgium,10,51.75174425,-0.23904979445944738
10007149.0,The University of Hull,2020/2021,belgium,5,53.773250649999994,-0.3670415117318655
10035638.0,Institute of Contemporary Music Performance,2020/2021,belgium,10,51.544477650000005,-0.20232179784067766
10007767.0,Keele University,2020/2021,belgium,5,53.0016756,-2.270694218876779
10007150.0,The University of Kent,2020/2021,belgium,55,51.29508745,1.0673312821552285
10003645.0,King's College London,2020/2021,belgium,190,51.50308545,-0.09000212114826903
10003678.0,Kingston University,2020/2021,belgium,15,51.403073899999995,-0.3032181426130893
10007768.0,The University of Lancaster,2020/2021,belgium,20,54.009842899999995,-2.787576781958986
