ukprn,he_provider,year,country,students
10006840,The University of Birmingham,2020/2021,belgium,30
10000712,University College Birmingham,2020/2021,belgium,5
10006841,The University of Bolton,2020/2021,belgium,10
10000385,The Arts University Bournemouth,2020/2021,belgium,10
10000824,Bournemouth University,2020/2021,belgium,5
10031982,BPP University,2020/2021,belgium,15
10007785,The University of Bradford,2020/2021,belgium,5
10000886,The University of Brighton,2020/2021,belgium,25
10007786,The University of Bristol,2020/2021,belgium,40
10000961,Brunel University London,2020/2021,belgium,15
10000975,Buckinghamshire New University,2020/2021,belgium,25
10007788,The University of Cambridge,2020/2021,belgium,60
10001143,Canterbury Christ Church University,2020/2021,belgium,5
10007814,Cardiff University,2020/2021,belgium,25
10007141,The University of Central Lancashire,2020/2021,belgium,5
10007137,The University of Chichester,2020/2021,belgium,5
10001478,"City, University of London",2020/2021,belgium,40
10001653,Conservatoire for Dance and Drama,2020/2021,belgium,5
10007761,Courtauld Institute of Art,2020/2021,belgium,5
10001726,Coventry University,2020/2021,belgium,45
10007822,Cranfield University,2020/2021,belgium,10
10006427,University for the Creative Arts,2020/2021,belgium,10
10001883,De Montfort University,2020/2021,belgium,10
10007851,University of Derby,2020/2021,belgium,5
10007852,The University of Dundee,2020/2021,belgium,25
10007143,University of Durham,2020/2021,belgium,40
10007789,The University of East Anglia,2020/2021,belgium,30
10007144,The University of East London,2020/2021,belgium,10
10007772,Edinburgh Napier University,2020/2021,belgium,15
10007790,The University of Edinburgh,2020/2021,belgium,105
10007791,The University of Essex,2020/2021,belgium,30
10002313,ESCP Europe Business School,2020/2021,belgium,5
10007792,The University of Exeter,2020/2021,belgium,70
10008640,Falmouth University,2020/2021,belgium,10
10007762,Glasgow Caledonian University,2020/2021,belgium,5
10002681,Glasgow School of Art,2020/2021,belgium,5
10007794,The University of Glasgow,2020/2021,belgium,45
10002718,Goldsmiths College,2020/2021,belgium,25
10007146,The University of Greenwich,2020/2021,belgium,15
10007825,Guildhall School of Music and Drama,2020/2021,belgium,5
10080811,Hartpury University,2020/2021,belgium,5
10007764,Heriot-Watt University,2020/2021,belgium,20
